Id,Label,timeset,bus number,lon,lat,supply (mw),demand (mw),cluster,modularity_class,Cluter-ID,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles
0,,,,-114.808295,33.285811,0,0,9,55,0,8,8,20,0.118309,0.129976,42842082.76,0,0,0
1,,,,-109.168098,45.131739,0,0,18,24,0,16,16,19,0.119825,0.133608,59199606.01,0,0,0
2,,,,-118.686391,36.191126,0,0,12,18,0,11,11,21,0.11629,0.129789,46449124.22,0,0,0
3,,,,-122.776463,49.148646,0,0,23,11,0,13,13,20,0.11126,0.124044,24733983.33,0,0,0
4,,,,-106.566784,45.765771,0,0,9,31,0,8,8,20,0.109689,0.121822,17188980.71,0,0,0
5,,,,-122.105048,47.859898,0,0,19,27,0,6,6,21,0.10258,0.114171,14069569.81,0,0,0
6,,,,-113.081716,50.144004,0,0,6,70,0,10,10,19,0.113038,0.126151,34854827.12,0,0,0
7,,,,-111.825589,33.401877,0,0,7,22,0,10,10,21,0.106786,0.11613,7225400.413,0,0,0
8,,,,-118.277591,35.631914,0,0,12,18,0,8,8,22,0.10997,0.124087,31699180.11,0,0,0
9,,,,-115.437328,36.177783,0,0,15,47,0,8,8,23,0.101844,0.115022,15529033.02,0,0,0
10,,,,-105.060371,39.976146,0,0,8,8,0,16,16,21,0.101076,0.113958,15028033.15,0,0.008333,1
11,,,,-122.126642,47.92793,0,0,19,27,0,9,9,22,0.093191,0.102124,1191304.189,0,0.055556,2
12,,,,-121.331604,38.748838,0,0,1,13,0,16,16,22,0.108252,0.123156,24377936.32,0,0.009524,1
13,,,,-112.701041,39.93881,0,0,0,20,0,6,6,24,0.094567,0.10737,12005398.5,0,0,0
14,,,,-118.789309,35.270349,0,0,12,18,0,8,8,23,0.100024,0.111533,5682713.645,0,0,0
15,,,,-106.515154,35.131864,0,0,13,5,0,11,11,22,0.092721,0.103854,5178699.58,0,0,0
16,,,,-122.466687,44.578264,0,0,5,26,0,8,8,22,0.094705,0.104901,6218421.902,0,0,0
17,,,,-116.337219,38.530292,0,0,9,47,0,6,6,24,0.092844,0.102643,1054937.563,0,0,0
18,,,,-117.191402,33.91853,0,0,2,39,0,14,14,23,0.10148,0.116145,16251889.02,0,0,0
19,,,,-120.827421,43.014111,0,0,9,6,0,6,6,23,0.089419,0.097832,1456010.853,0,0,0
20,,,,-105.05519,44.44619,0,0,22,31,0,7,7,21,0.099209,0.108537,2996216.026,0,0,0
21,,,,-115.190101,52.8679,0,0,10,66,0,10,10,20,0.103355,0.114732,13805281.96,0,0,0
22,,,,-118.515182,35.686681,0,0,12,18,0,3,3,23,0.099094,0.1088,100021.015,0,0,0
23,,,,-121.828838,37.595174,0,0,1,17,0,9,9,23,0.099419,0.112169,10400012.29,0,0,0
24,,,,-122.35079,47.6643,0,0,19,27,0,12,12,22,0.094359,0.105066,7809206.14,0,0.018182,1
25,,,,-104.6215,39.510154,0,0,8,8,0,6,6,22,0.092081,0.10193,3191632.677,0,0,0
26,,,,-125.207007,50.663563,0,0,9,62,0,6,6,21,0.100584,0.110064,4225214.34,0,0,0
27,,,,-104.908224,35.120246,0,0,9,5,0,7,7,23,0.084916,0.093247,834059.101,0,0,0
28,,,,-111.886924,33.297658,0,0,7,22,0,8,8,22,0.097058,0.104694,3637727.771,0,0.047619,1
29,,,,-121.401801,38.559207,0,0,1,13,0,19,19,23,0.098147,0.11038,3746132.31,0,0.008333,1
30,,,,-123.596629,39.686081,0,0,9,3,0,6,6,23,0.099135,0.110052,3469244.852,0,0,0
31,,,,-119.06915,35.295964,0,0,12,18,0,7,7,24,0.091728,0.101371,2900904.92,0,0,0
32,,,,-117.351429,49.31422,0,0,11,61,0,9,9,20,0.104331,0.116471,16374186.76,0,0,0
33,,,,-121.302822,37.873042,0,0,1,15,0,10,10,24,0.091152,0.10142,3679365.338,0,0,0
34,,,,-122.042633,46.600392,0,0,19,27,0,8,8,23,0.087117,0.096112,2602534.445,0,0,0
35,,,,-111.884396,33.127245,0,0,7,22,0,9,9,23,0.089504,0.096733,3607440.502,0,0.027778,1
36,,,,-117.284236,34.629763,0,0,12,56,0,7,7,24,0.092503,0.103317,1105174.489,0,0.047619,1
37,,,,-105.05787,40.545606,0,0,8,7,0,6,6,22,0.091999,0.10155,2043212.272,0,0.066667,1
38,,,,-104.621571,40.51482,0,0,8,7,0,5,5,23,0.08448,0.092119,1125860.562,0,0,0
39,,,,-114.85038,51.076321,0,0,6,70,0,7,7,20,0.10207,0.112162,4452391.782,0,0,0
40,,,,-118.526297,35.707622,0,0,12,18,0,3,3,24,0.090163,0.097156,23999.98059,0,0,0
41,,,,-106.214358,36.190757,0,0,13,51,0,6,6,23,0.086888,0.095747,2202807.784,0,0,0
42,,,,-121.649417,40.742363,0,0,9,3,0,9,9,23,0.098663,0.110034,4294244.946,0,0,0
43,,,,-120.268646,36.323652,0,0,9,47,0,4,4,25,0.084789,0.092805,1113912.089,0,0,0
44,,,,-118.182344,34.035947,0,0,2,46,0,13,13,24,0.093149,0.106653,8449563.81,0,0,0
45,,,,-112.867963,48.731801,0,0,6,43,0,6,6,20,0.1025,0.112153,3381618.571,0,0,0
46,,,,-118.508726,40.774386,0,0,21,2,0,4,4,24,0.090373,0.099021,1809554.681,0,0,0
47,,,,-118.687897,33.730688,0,0,2,46,0,7,7,25,0.085261,0.095071,591776.6062,0,0,0
48,,,,-109.088436,47.440219,0,0,18,24,0,9,9,19,0.107914,0.118311,4528023.51,0,0,0
49,,,,-111.136406,39.497901,0,0,0,4,0,11,11,25,0.087462,0.098146,3263899.162,0,0.018182,1
50,,,,-115.042712,34.104615,0,0,9,55,0,3,3,21,0.10592,0.113854,515456.2949,0,0,0
51,,,,-118.194261,33.773756,0,0,2,46,0,11,11,25,0.085608,0.096775,2967017.229,0,0.022222,1
52,,,,-105.103994,40.641693,0,0,8,7,0,6,6,23,0.084337,0.091715,627160.5241,0,0,0
53,,,,-106.411154,39.131631,0,0,9,37,0,11,11,22,0.092529,0.102178,1454944.701,0,0.036364,2
54,,,,-102.605588,37.905349,0,0,9,8,0,12,12,23,0.084466,0.092344,1768670.065,0,0.022222,1
55,,,,-121.859716,58.667458,0,0,9,66,0,6,6,21,0.094036,0.10268,3050016.709,0,0,0
56,,,,-117.974016,34.209752,0,0,2,18,0,9,9,25,0.085691,0.096647,2064714.681,0,0,0
57,,,,-118.47303,47.249986,0,0,11,41,0,9,9,21,0.096598,0.108055,10043437.27,0,0,0
58,,,,-106.687523,35.900094,0,0,13,51,0,5,5,23,0.080797,0.087707,602195.2695,0,0,0
59,,,,-109.592493,38.175934,0,0,9,4,0,9,9,26,0.081811,0.090683,1509611.877,0,0.027778,1
60,,,,-122.474626,42.306039,0,0,9,6,0,9,9,24,0.088221,0.096473,2863601.031,0,0,0
61,,,,-111.970651,41.00323,0,0,4,45,0,15,15,25,0.088101,0.101504,8808287.053,0,0.028571,3
62,,,,-117.500607,48.23775,0,0,11,40,0,5,5,21,0.094648,0.103736,1668360.454,0,0,0
63,,,,-122.319558,48.919391,0,0,23,11,0,5,5,21,0.100329,0.109353,1033232.755,0,0,0
64,,,,-120.218807,36.071222,0,0,9,47,0,6,6,26,0.079595,0.087537,1251134.996,0,0,0
65,,,,-113.640865,42.516296,0,0,14,30,0,11,11,26,0.08197,0.093606,3393509.087,0,0.018182,1
66,,,,-111.645187,40.407633,0,0,4,35,0,7,7,26,0.081337,0.091714,1239083.55,0,0,0
67,,,,-122.908483,44.469009,0,0,5,26,0,8,8,23,0.087623,0.096776,4601410.608,0,0,0
68,,,,-112.073122,43.236267,0,0,0,29,0,12,12,26,0.078825,0.088405,1837934.274,0,0.015152,1
