Source,Target,Type,Id,Label,timeset,Weight,line number,x,R
14429,13768,Undirected,151072,,,1,0,0.176627,0.001206392
14428,13073,Undirected,151073,,,1,1,0.10298,0.00115313
14427,14035,Undirected,151074,,,1,2,0.084389,0.000726209
14426,14006,Undirected,151075,,,1,3,0.011286,0.000132584
14425,12301,Undirected,151076,,,1,4,0.137005,0.001500009
14424,13668,Undirected,151077,,,1,5,0.050394,0.000444198
14423,13675,Undirected,151078,,,1,6,0.034078,0.000171792
14422,4947,Undirected,151079,,,1,7,0.18517,0.001306755
14421,13741,Undirected,151080,,,1,8,0.06826,0.000929006
14420,13923,Undirected,151081,,,1,9,0.030077,0.000223569
14419,13600,Undirected,151082,,,1,10,1.329322,0.012789078
14418,13071,Undirected,151083,,,1,11,0.033316,0.000404569
14417,13764,Undirected,151084,,,1,12,0.268214,0.001973216
14416,13562,Undirected,151085,,,1,13,0.291479,0.001312326
14415,12906,Undirected,151086,,,1,14,0.164635,0.001701236
14414,13324,Undirected,151087,,,1,15,0.004677,3.35E-05
14413,12155,Undirected,151088,,,1,16,0.048456,0.000186385
14412,12589,Undirected,151089,,,1,17,0.124636,0.00098961
14411,13554,Undirected,151090,,,1,18,0.258165,0.003200102
14410,14344,Undirected,151091,,,1,19,0.147584,0.001305955
14409,13588,Undirected,151092,,,1,20,0.170743,0.001813432
14408,4519,Undirected,151093,,,1,21,0.10156,0.001009329
14407,12476,Undirected,151094,,,1,22,0.345321,0.005127749
14406,13777,Undirected,151095,,,1,23,0.132503,0.001529209
14405,13271,Undirected,151096,,,1,24,0.091876,0.001089125
14404,12466,Undirected,151097,,,1,25,0.141249,0.001080253
14403,13134,Undirected,151098,,,1,26,0.135784,0.001284059
14402,12613,Undirected,151099,,,1,27,0.184636,0.002282392
14401,13744,Undirected,151100,,,1,28,0.033438,0.000309448
14400,6465,Undirected,151101,,,1,29,0.231202,0.002184422
14399,13212,Undirected,151102,,,1,30,0.1947,0.001945743
14398,12139,Undirected,151103,,,1,31,0.058685,0.0004664
14397,14010,Undirected,151104,,,1,32,0.041871,0.000280858
14396,13074,Undirected,151105,,,1,33,0.503876,0.005832923
14395,13599,Undirected,151106,,,1,34,0.010788,0.00011454
14394,12711,Undirected,151107,,,1,35,0.02624,0.000134525
14393,13306,Undirected,151108,,,1,36,0.390286,0.004081463
14392,14026,Undirected,151109,,,1,37,0.044042,0.000473093
14391,12969,Undirected,151110,,,1,38,0.341941,0.001936807
14390,13929,Undirected,151111,,,1,39,0.158403,0.002075797
14389,12129,Undirected,151112,,,1,40,1.578485,0.018599056
14388,12996,Undirected,151113,,,1,41,0.045014,0.000458441
14387,13309,Undirected,151114,,,1,42,0.224342,0.002712995
14386,14024,Undirected,151115,,,1,43,0.036841,0.000184648
14385,13762,Undirected,151116,,,1,44,0.94306,0.006460943
14384,13262,Undirected,151117,,,1,45,0.059523,0.000461511
14383,12595,Undirected,151118,,,1,46,0.298115,0.004164021
14382,13137,Undirected,151119,,,1,47,0.078659,0.000399701
14381,12820,Undirected,151120,,,1,48,0.168992,0.002213448
14380,14379,Undirected,151121,,,1,49,0.182671,0.00159005
14379,12795,Undirected,151122,,,1,50,0.153379,0.002156379
14378,12794,Undirected,151123,,,1,51,0.339279,0.003661194
14377,14226,Undirected,151124,,,1,52,1.804352,0.017110639
14376,14375,Undirected,151125,,,1,53,0.038412,0.00046504
14375,13758,Undirected,151126,,,1,54,0.592155,0.003364959
14374,12796,Undirected,151127,,,1,55,0.501325,0.006546386
14373,13833,Undirected,151128,,,1,56,0.042307,0.000411639
14372,6270,Undirected,151129,,,1,57,0.07394,0.00093075
14371,12823,Undirected,151130,,,1,58,0.088445,0.000953892
14370,12824,Undirected,151131,,,1,59,0.755756,0.008224163
14369,12653,Undirected,151132,,,1,60,0.042516,0.000481206
14368,13290,Undirected,151133,,,1,61,0.143745,0.000857955
14367,13117,Undirected,151134,,,1,62,0.590306,0.006083806
14366,12954,Undirected,151135,,,1,63,0.138447,0.000909488
14365,12320,Undirected,151136,,,1,64,0.083957,0.00093102
14364,13994,Undirected,151137,,,1,65,0.034292,0.000460781
14363,4851,Undirected,151138,,,1,66,0.057561,0.00068537
14362,14078,Undirected,151139,,,1,67,0.453744,0.004362029
14361,12696,Undirected,151140,,,1,68,0.247698,0.001825086
14360,14230,Undirected,151141,,,1,69,0.678866,0.003849793
14359,12693,Undirected,151142,,,1,70,0.446668,0.00473552
14358,10785,Undirected,151143,,,1,71,0.418791,0.006533312
14357,13872,Undirected,151144,,,1,72,0.082896,0.000889602
14356,14355,Undirected,151145,,,1,73,0.033816,0.000341528
14355,14354,Undirected,151146,,,1,74,0.044231,0.000541377
14354,14180,Undirected,151147,,,1,75,0.182711,0.001708189
14353,14180,Undirected,151148,,,1,76,0.143535,0.001717203
14352,13872,Undirected,151149,,,1,77,0.046952,0.00044426
14351,14350,Undirected,151150,,,1,78,0.022365,0.000293422
14350,13358,Undirected,151151,,,1,79,0.052343,0.000477692
14349,14348,Undirected,151152,,,1,80,0.032104,0.000258195
14348,13871,Undirected,151153,,,1,81,0.069515,0.001141414
14347,13870,Undirected,151154,,,1,82,0.188275,0.001435014
14346,13868,Undirected,151155,,,1,83,0.023731,0.000234415
14345,13808,Undirected,151156,,,1,84,0.028011,0.000311897
14344,13505,Undirected,151157,,,1,85,0.17872,0.001698815
14343,13031,Undirected,151158,,,1,86,0.11831,0.001205057
14342,13026,Undirected,151159,,,1,87,0.058578,0.000570732
14341,13031,Undirected,151160,,,1,88,0.049574,0.000112967
14340,1198,Undirected,151161,,,1,89,0.381689,0.003168713
14339,13030,Undirected,151162,,,1,90,0.193033,0.001834356
14338,14337,Undirected,151163,,,1,91,0.084142,0.000634686
14337,13556,Undirected,151164,,,1,92,0.353894,0.004193699
14336,13866,Undirected,151165,,,1,93,0.243697,0.001181235
14335,13028,Undirected,151166,,,1,94,0.316038,0.002756556
14334,4288,Undirected,151167,,,1,95,0.237673,0.001897649
14333,2567,Undirected,151168,,,1,96,0.643006,0.008096792
14332,5815,Undirected,151169,,,1,97,0.334594,0.004105878
14331,13865,Undirected,151170,,,1,98,0.203479,0.002260922
14330,12742,Undirected,151171,,,1,99,0.28477,0.003009936
14329,12750,Undirected,151172,,,1,100,0.313615,0.002170909
14328,12745,Undirected,151173,,,1,101,0.271952,0.002985651
14327,1494,Undirected,151174,,,1,102,0.100567,0.001185811
14326,13576,Undirected,151175,,,1,103,0.121708,0.001581193
14325,12742,Undirected,151176,,,1,104,0.25785,0.002375099
14324,13863,Undirected,151177,,,1,105,0.359648,0.005116069
14323,12742,Undirected,151178,,,1,106,0.205782,0.002934838
14322,13863,Undirected,151179,,,1,107,0.127212,0.001669365
14321,13036,Undirected,151180,,,1,108,0.187966,0.001406528
14320,5944,Undirected,151181,,,1,109,0.617535,0.007053277
14319,2347,Undirected,151182,,,1,110,0.545856,0.00323098
14318,13860,Undirected,151183,,,1,111,0.167638,0.001977939
14317,13858,Undirected,151184,,,1,112,0.175666,0.001861432
14316,13858,Undirected,151185,,,1,113,0.319594,0.002890447
14315,12711,Undirected,151186,,,1,114,1.297726,0.010160518
14314,13860,Undirected,151187,,,1,115,0.381592,0.003185606
14313,13860,Undirected,151188,,,1,116,0.426016,0.00181175
14312,12730,Undirected,151189,,,1,117,0.151651,0.000852782
14311,7695,Undirected,151190,,,1,118,0.341787,0.002053885
14310,14309,Undirected,151191,,,1,119,0.330683,0.002670137
14309,14308,Undirected,151192,,,1,120,0.348554,0.00390058
14308,12728,Undirected,151193,,,1,121,0.793336,0.003042337
14307,12726,Undirected,151194,,,1,122,0.089117,0.000876745
14306,12671,Undirected,151195,,,1,123,0.105643,0.00052543
14305,13856,Undirected,151196,,,1,124,0.425031,0.004301653
14304,12765,Undirected,151197,,,1,125,0.248179,0.00261348
14303,14300,Undirected,151198,,,1,126,0.110749,0.001321588
14302,14284,Undirected,151199,,,1,127,0.079119,0.000760472
14301,14288,Undirected,151200,,,1,128,0.137196,0.001503319
14300,14294,Undirected,151201,,,1,129,0.151069,0.001954517
14299,14283,Undirected,151202,,,1,130,0.278522,0.003181731
14298,13853,Undirected,151203,,,1,131,0.18383,0.002200716
14297,14296,Undirected,151204,,,1,132,0.264005,0.001853709
14296,13848,Undirected,151205,,,1,133,0.21187,0.002270157
14295,12763,Undirected,151206,,,1,134,0.436273,0.004326803
14294,14292,Undirected,151207,,,1,135,0.184347,0.001073648
14293,14289,Undirected,151208,,,1,136,0.219053,0.003284817
14292,13241,Undirected,151209,,,1,137,0.136156,0.000899343
14291,13727,Undirected,151210,,,1,138,0.052663,0.000507918
14290,14287,Undirected,151211,,,1,139,0.143284,0.002227982
14289,14288,Undirected,151212,,,1,140,0.050882,0.000577415
14288,13219,Undirected,151213,,,1,141,0.043057,0.000390231
14287,14285,Undirected,151214,,,1,142,0.051078,0.00067357
14286,13699,Undirected,151215,,,1,143,0.069863,0.001050599
14285,13699,Undirected,151216,,,1,144,0.191455,0.001744424
14284,5012,Undirected,151217,,,1,145,0.09787,0.001452231
14283,14266,Undirected,151218,,,1,146,0.215343,0.002805563
14282,14265,Undirected,151219,,,1,147,0.115411,0.001691648
14281,14270,Undirected,151220,,,1,148,0.08131,0.001121646
14280,12054,Undirected,151221,,,1,149,0.666876,0.007415857
14279,11991,Undirected,151222,,,1,150,0.165208,0.000984951
14278,13916,Undirected,151223,,,1,151,0.058312,0.000757474
14277,12362,Undirected,151224,,,1,152,0.226289,0.002712978
14276,14036,Undirected,151225,,,1,153,0.04315,0.000319848
14275,13293,Undirected,151226,,,1,154,0.041067,0.000478438
14274,12714,Undirected,151227,,,1,155,0.450794,0.004327592
14273,12130,Undirected,151228,,,1,156,0.400553,0.004699597
14272,13208,Undirected,151229,,,1,157,0.065375,0.000685109
14271,13261,Undirected,151230,,,1,158,0.051089,0.000743474
14270,14266,Undirected,151231,,,1,159,0.062248,0.000305923
14269,13563,Undirected,151232,,,1,160,0.467144,0.005898871
14268,14267,Undirected,151233,,,1,161,0.215223,0.002490494
14267,14266,Undirected,151234,,,1,162,0.19246,0.001781345
14266,13853,Undirected,151235,,,1,163,0.190619,0.001206881
14265,13855,Undirected,151236,,,1,164,0.018838,0.000229986
14264,14263,Undirected,151237,,,1,165,0.148593,0.000774344
14263,14262,Undirected,151238,,,1,166,0.250909,0.003296134
14262,13855,Undirected,151239,,,1,167,0.505523,0.00600626
14261,13381,Undirected,151240,,,1,168,0.304534,0.00159342
14260,14243,Undirected,151241,,,1,169,0.128324,0.001332838
14259,12757,Undirected,151242,,,1,170,0.183717,0.002234595
14258,338,Undirected,151243,,,1,171,0.37711,0.00362523
14257,12678,Undirected,151244,,,1,172,0.797201,0.005070612
14256,4041,Undirected,151245,,,1,173,0.402648,0.005332482
14255,13328,Undirected,151246,,,1,174,0.203545,0.00294347
14254,6816,Undirected,151247,,,1,175,0.443945,0.004022146
14253,12714,Undirected,151248,,,1,176,0.405864,0.004721098
14252,869,Undirected,151249,,,1,177,0.613893,0.007210589
14251,13228,Undirected,151250,,,1,178,0.620651,0.010541391
14250,398,Undirected,151251,,,1,179,0.249284,0.003219627
14249,990,Undirected,151252,,,1,180,0.721591,0.006694339
14248,13849,Undirected,151253,,,1,181,0.230238,0.002318527
14247,12762,Undirected,151254,,,1,182,0.236377,0.002533866
14246,12755,Undirected,151255,,,1,183,0.098711,0.001543038
14245,12754,Undirected,151256,,,1,184,0.220908,0.003178036
14244,12771,Undirected,151257,,,1,185,0.190358,0.002582276
14243,12756,Undirected,151258,,,1,186,0.109595,0.001220034
14242,13846,Undirected,151259,,,1,187,0.464433,0.006275775
14241,12801,Undirected,151260,,,1,188,0.1244,0.000454725
14240,12854,Undirected,151261,,,1,189,0.365742,0.002561587
14239,13846,Undirected,151262,,,1,190,0.505356,0.005536353
14238,13844,Undirected,151263,,,1,191,0.198137,0.002008053
14237,12879,Undirected,151264,,,1,192,0.057224,0.000789271
14236,4036,Undirected,151265,,,1,193,0.97602,0.009506074
14235,7728,Undirected,151266,,,1,194,0.860885,0.014723982
14234,7728,Undirected,151267,,,1,195,0.757688,0.003969046
14233,12877,Undirected,151268,,,1,196,0.540174,0.006174855
14232,6551,Undirected,151269,,,1,197,0.315002,0.003613108
14231,12878,Undirected,151270,,,1,198,0.352681,0.003564207
14230,12885,Undirected,151271,,,1,199,0.322431,0.003690739
14229,12884,Undirected,151272,,,1,200,0.300086,0.004599781
14228,12881,Undirected,151273,,,1,201,0.210367,0.001814377
14227,14216,Undirected,151274,,,1,202,0.2537,0.001347684
14226,12805,Undirected,151275,,,1,203,1.15421,0.014311686
14225,13384,Undirected,151276,,,1,204,0.1578,0.001226138
14224,12883,Undirected,151277,,,1,205,0.448921,0.005330606
14223,7767,Undirected,151278,,,1,206,2.067529,0.022733173
14222,1958,Undirected,151279,,,1,207,1.329286,0.017993808
14221,12844,Undirected,151280,,,1,208,0.983919,0.010679342
14220,14219,Undirected,151281,,,1,209,1.159381,0.016180454
14219,12839,Undirected,151282,,,1,210,0.055063,0.000692628
14218,3650,Undirected,151283,,,1,211,0.73748,0.005158926
14217,4681,Undirected,151284,,,1,212,1.12213,0.016025183
14216,13303,Undirected,151285,,,1,213,0.372974,0.002783457
